director_name,actor_name,genres,movie_title
Bryan Singer,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: apocalypse
Christopher Nolan,Christian Bale,Action Crime Drama Thriller,the dark knight
Pete Docter,John Ratzenberger,Adventure Animation Comedy Family,up
Rob Letterman,Amy Poehler,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens
Jon Favreau,Robert Downey Jr.,Action Adventure Sci-Fi,iron man
Martin Scorsese,Chloë Grace Moretz,Adventure Drama Family Mystery,hugo
Barry Sonnenfeld,Will Smith,Action Comedy Sci-Fi Western,wild wild west
Rob Cohen,Jet Li,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor
David Ayer,Will Smith,Action Adventure Comedy Sci-Fi,suicide squad
Tom Shadyac,Jimmy Bennett,Comedy Family Fantasy,evan almighty
Doug Liman,Tom Cruise,Action Adventure Sci-Fi,edge of tomorrow
Kevin Reynolds,Jeanne Tripplehorn,Action Adventure Sci-Fi Thriller,waterworld
Stephen Sommers,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra
Pete Docter,Amy Poehler,Adventure Animation Comedy Drama Family Fantasy,inside out
Jon Favreau,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 2
Rupert Sanders,Chris Hemsworth,Action Adventure Drama Fantasy,snow white and the huntsman
Robert Stromberg,Angelina Jolie Pitt,Action Adventure Family Fantasy Romance,maleficent
Matt Reeves,Gary Oldman,Action Adventure Drama Sci-Fi,dawn of the planet of the apes
Carl Rinsch,Keanu Reeves,Action Adventure Drama Fantasy,47 ronin
Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,captain america: the winter soldier
Mike Mitchell,Jon Hamm,Adventure Animation Comedy Family Fantasy,shrek forever after
Brad Bird,Judy Greer,Action Adventure Family Mystery Sci-Fi,tomorrowland
Don Hall,Damon Wayans Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6
Rich Moore,Jack McBrayer,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph
Robert Zemeckis,Tom Hanks,Adventure Animation Family Fantasy,the polar express
Roland Emmerich,Vivica A. Fox,Action Adventure Sci-Fi,independence day: resurgence
Dean DeBlois,Gerard Butler,Adventure Animation Family Fantasy,how to train your dragon
Jonathan Mostow,Nick Stahl,Action Sci-Fi,terminator 3: rise of the machines
James Gunn,Bradley Cooper,Action Adventure Sci-Fi,guardians of the galaxy
Christopher Nolan,Matthew McConaughey,Adventure Drama Sci-Fi,interstellar
Christopher Nolan,Leonardo DiCaprio,Action Adventure Sci-Fi Thriller,inception
Peter Jackson,Aidan Turner,Adventure Fantasy,the hobbit: an unexpected journey
David Fincher,Brad Pitt,Drama Fantasy Romance,the curious case of benjamin button
Matthew Vaughn,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: first class
Francis Lawrence,Jennifer Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2
Jon Turteltaub,Nicolas Cage,Action Adventure Family Fantasy,the sorcerer's apprentice
Wolfgang Petersen,Jimmy Bennett,Action Adventure Drama Thriller,poseidon
James Bobin,Johnny Depp,Adventure Family Fantasy,alice through the looking glass
Chris Miller,Justin Timberlake,Adventure Animation Comedy Family Fantasy,shrek the third
Duncan Jones,Dominic Cooper,Action Adventure Fantasy,warcraft
Alan Taylor,J.K. Simmons,Action Adventure Sci-Fi,terminator genisys
Michael Apted,Bruce Spence,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Jennifer Garner,Action Drama History Romance War,pearl harbor
Michael Bay,Zack Ward,Action Adventure Sci-Fi,transformers
Oliver Stone,Anthony Hopkins,Action Adventure Biography Drama History Romance War,alexander
David Yates,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix
Mike Newell,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the goblet of fire
Peter Berg,Will Smith,Action Drama,hancock
Francis Lawrence,Will Smith,Drama Horror Sci-Fi,i am legend
Tim Burton,Johnny Depp,Adventure Comedy Family Fantasy,charlie and the chocolate factory
Brad Bird,Janeane Garofalo,Animation Comedy Family Fantasy,ratatouille
Christopher Nolan,Christian Bale,Action Adventure,batman begins
Eric Darnell,Bernie Mac,Action Adventure Animation Comedy Family,madagascar: escape 2 africa
Shawn Levy,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian
Gavin Hood,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine
Lana Wachowski,Essie Davis,Action Sci-Fi,the matrix revolutions
Chris Buck,Josh Gad,Adventure Animation Comedy Family Fantasy Musical,frozen
Lana Wachowski,Steve Bastoni,Action Sci-Fi,the matrix reloaded
Alan Taylor,Chris Hemsworth,Action Adventure Fantasy,thor: the dark world
George Miller,Tom Hardy,Action Adventure Sci-Fi Thriller,mad max: fury road
Ron Howard,Tom Hanks,Mystery Thriller,angels & demons
Kenneth Branagh,Chris Hemsworth,Action Adventure Fantasy,thor
Byron Howard,Chloë Grace Moretz,Adventure Animation Comedy Drama Family,bolt
Hoyt Yeatman,Kelli Garner,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force
Jonathan Liebesman,Liam Neeson,Action Adventure Fantasy,wrath of the titans
Tim Burton,Johnny Depp,Comedy Fantasy Horror,dark shadows
Christopher McQuarrie,Tom Cruise,Action Adventure Thriller,mission: impossible - rogue nation
Joe Johnston,Anthony Hopkins,Drama Fantasy Horror Thriller,the wolfman
David Yates,Christoph Waltz,Action Adventure Drama Romance,the legend of tarzan
Steve Hickner,Matthew Broderick,Adventure Animation Comedy Family,bee movie
Jennifer Yuh Nelson,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda 2
M. Night Shyamalan,Seychelle Gabriel,Action Adventure Family Fantasy,the last airbender
J.J. Abrams,Philip Seymour Hoffman,Action Adventure Thriller,mission: impossible iii
Roland Emmerich,Channing Tatum,Action Drama Thriller,white house down
Simon Wells,Elisabeth Harnois,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms
David Bowers,Hugh Jackman,Adventure Animation Comedy Family,flushed away
Rob Minkoff,Ty Burrell,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman
Wolfgang Petersen,Brad Pitt,Adventure,troy
Eric Darnell,Jada Pinkett Smith,Adventure Animation Comedy Family,madagascar 3: europe's most wanted
Lee Tamahori,Toby Stephens,Action Adventure Thriller,die another day
Michael Bay,Bruce Willis,Action Adventure Sci-Fi Thriller,armageddon
Barry Sonnenfeld,Will Smith,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii
Robert Zemeckis,Robin Wright,Action Adventure Animation Fantasy,beowulf
Alessandro Carloni,J.K. Simmons,Action Adventure Animation Comedy Family,kung fu panda 3
Brad Bird,Tom Cruise,Action Adventure Thriller,mission: impossible - ghost protocol
Peter Ramsey,Hugh Jackman,Adventure Animation Family Fantasy,rise of the guardians
Dean Parisot,John Michael Higgins,Comedy Crime,fun with dick and jane
Edward Zwick,Tom Cruise,Action Drama History War,the last samurai
J.J. Abrams,Chris Hemsworth,Action Adventure Sci-Fi,star trek
Sam Raimi,J.K. Simmons,Action Adventure Fantasy Romance,spider-man
Dean DeBlois,Gerard Butler,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2
Alex Proyas,Gerard Butler,Action Adventure Fantasy,gods of egypt
Rob Cohen,Sam Shepard,Action Adventure Sci-Fi Thriller,stealth
Zack Snyder,Matt Frewer,Action Drama Mystery Sci-Fi,watchmen
Richard Donner,Jet Li,Action Crime Thriller,lethal weapon 4
Ang Lee,Kevin Rankin,Action Sci-Fi,hulk
Jon M. Chu,Channing Tatum,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation
Hironobu Sakaguchi,Steve Buscemi,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within
Joe Johnston,Chris Evans,Action Adventure Sci-Fi,captain america: the first avenger
Michael Apted,Colin Salmon,Action Adventure Thriller,the world is not enough
Peter Weir,James D'Arcy,Action Adventure Drama History War,master and commander: the far side of the world
George Miller,Robin Williams,Animation Comedy Family Musical,happy feet 2
Louis Leterrier,Ty Burrell,Action Adventure Sci-Fi,the incredible hulk
unknown,Don Johnson,Action Crime Drama Mystery Thriller,miami vice            
Steven Spielberg,Mark Rylance,Adventure Family Fantasy,the bfg
Alejandro G. Iñárritu,Leonardo DiCaprio,Adventure Drama Thriller Western,the revenant
David Soren,Ryan Reynolds,Adventure Animation Comedy Family Sport,turbo
Gore Verbinski,Johnny Depp,Adventure Animation Comedy Family Western,rango
Eric Darnell,Benedict Cumberbatch,Adventure Animation Comedy Family,penguins of madagascar
Paul Greengrass,Matt Damon,Action Mystery Thriller,the bourne ultimatum
Mark Osborne,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda
Peyton Reed,Judy Greer,Action Adventure Comedy Sci-Fi,ant-man
Francis Lawrence,Jennifer Lawrence,Adventure Sci-Fi Thriller,the hunger games: catching fire
Bill Condon,Robert Pattinson,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
Steven Spielberg,Tom Cruise,Adventure Sci-Fi Thriller,war of the worlds
Michael Bay,Will Smith,Action Comedy Crime Thriller,bad boys ii
Chris Miller,Salma Hayek,Action Adventure Animation Comedy Family Fantasy,puss in boots
Phillip Noyce,Angelina Jolie Pitt,Action Crime Mystery Thriller,salt
Darren Aronofsky,Anthony Hopkins,Action Adventure Drama,noah
Steven Spielberg,Toby Jones,Action Adventure Family Mystery,the adventures of tintin
Alfonso Cuarón,Daniel Radcliffe,Adventure Family Fantasy Mystery,harry potter and the prisoner of azkaban
Baz Luhrmann,Essie Davis,Adventure Drama Romance War,australia
M. Night Shyamalan,Will Smith,Action Adventure Sci-Fi,after earth
Eric Leighton,Alfre Woodard,Adventure Animation Family Thriller,dinosaur
Matt Birch,Rupert Grint,Action Fantasy,harry potter and the deathly hallows: part ii
Shawn Levy,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: secret of the tomb
Tom McGrath,J.K. Simmons,Action Animation Comedy Family Sci-Fi,megamind
Chris Columbus,Daniel Radcliffe,Adventure Family Fantasy,harry potter and the sorcerer's stone
Robert Schwentke,Ryan Reynolds,Action Comedy Fantasy,r.i.p.d.
Hideaki Anno,Mark Chinnery,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Gore Verbinski,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: the curse of the black pearl
Matt Birch,Rupert Grint,Fantasy,harry potter and the deathly hallows: part i
Francis Lawrence,Jennifer Lawrence,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1
Ron Howard,Tom Hanks,Mystery Thriller,the da vinci code
Carlos Saldanha,Miguel Ferrer,Adventure Animation Comedy Family Musical,rio 2
Bryan Singer,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men 2
Justin Lin,Paul Walker,Action Crime Thriller,fast five
Guy Ritchie,Robert Downey Jr.,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows
John McTiernan,Tony Curran,Action Adventure History,the 13th warrior
Tony Gilroy,Jeremy Renner,Action Adventure Thriller,the bourne legacy
Joel Schumacher,Michael Gough,Action,batman & robin
Ron Howard,Clint Howard,Comedy Family Fantasy,how the grinch stole christmas
Roland Emmerich,Jake Gyllenhaal,Action Adventure Sci-Fi Thriller,the day after tomorrow
John Woo,Tom Cruise,Action Adventure Thriller,mission: impossible ii
Wolfgang Petersen,Karen Allen,Action Adventure Drama Thriller,the perfect storm
Tim Story,Chris Evans,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer
Ang Lee,Suraj Sharma,Adventure Drama Fantasy,life of pi
Mark Steven Johnson,Nicolas Cage,Action Fantasy Thriller,ghost rider
Paul Greengrass,Matt Damon,Action Thriller,jason bourne
McG,Demi Moore,Action Adventure Comedy Crime,charlie's angels: full throttle
Ridley Scott,Michael Fassbender,Adventure Mystery Sci-Fi,prometheus
Rob Minkoff,Nathan Lane,Adventure Animation Comedy Family Fantasy,stuart little 2
Neill Blomkamp,Matt Damon,Action Drama Sci-Fi Thriller,elysium
David Twohy,Vin Diesel,Action Adventure Sci-Fi Thriller,the chronicles of riddick
Lana Wachowski,Scott Porter,Action Family Sport,speed racer
James L. Brooks,Shelley Conn,Comedy Drama Romance,how do you know
James Mangold,Tom Cruise,Action Comedy Romance,knight and day
Joseph Kosinski,Morgan Freeman,Action Adventure Mystery Sci-Fi,oblivion
George Lucas,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode iii - revenge of the sith
George Lucas,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode ii - attack of the clones
Pete Docter,Steve Buscemi,Adventure Animation Comedy Family Fantasy,"monsters, inc."
James Mangold,Hugh Jackman,Action Adventure Sci-Fi Thriller,the wolverine
George Lucas,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode i - the phantom menace
Kirk De Micco,Ryan Reynolds,Adventure Animation Comedy Family Fantasy,the croods
Frédéric Forestier,Alain Delon,Adventure Comedy Family Fantasy,asterix at the olympic games
John Woo,Nicolas Cage,Action Drama War,windtalkers
Cedric Nicolas-Troyan,Chris Hemsworth,Action Adventure Drama Fantasy,the huntsman: winter's war
Alfonso Cuarón,Phaldut Sharma,Adventure Drama Sci-Fi Thriller,gravity
Roger Donaldson,Jamie Renée Smith,Action Adventure Thriller,dante's peak
Dave Green,Stephen Amell,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles: out of the shadows
Shawn Levy,Robin Williams,Action Adventure Comedy Family Fantasy,night at the museum
Brad Peyton,Dwayne Johnson,Action Adventure Drama Thriller,san andreas
Roger Spottiswoode,Vincent Schiavelli,Action Adventure Thriller,tomorrow never dies
Roland Emmerich,Heath Ledger,Action Drama History War,the patriot
Steven Soderbergh,Brad Pitt,Crime Thriller,ocean's twelve
Doug Liman,Brad Pitt,Action Comedy Crime Romance Thriller,mr. & mrs. smith
Robert Schwentke,Kate Winslet,Adventure Sci-Fi Thriller,insurgent
Martin Scorsese,Leonardo DiCaprio,Biography Drama,the aviator
Rob Letterman,James Corden,Adventure Comedy Family Fantasy,gulliver's travels
Michel Gondry,Christoph Waltz,Action Comedy Crime Sci-Fi Thriller,the green hornet
unknown,George Peppard,Action Adventure Crime,the a-team            
Noam Murro,Eva Green,Action Drama Fantasy War,300: rise of an empire
Raja Gosnell,Mahadeo Shivraj,Adventure Animation Comedy Family Fantasy,the smurfs
Will Finn,Steve Buscemi,Animation Comedy Family Music Western,home on the range
Robert Schwentke,Naomi Watts,Action Adventure Mystery Sci-Fi Thriller,allegiant
Shawn Levy,Hugh Jackman,Action Drama Sci-Fi Sport,real steel
Raja Gosnell,Jacob Tremblay,Adventure Animation Comedy Family Fantasy,the smurfs 2
Jan de Bont,Jason Patric,Action Crime Romance Thriller,speed 2: cruise control
Gavin Hood,Harrison Ford,Action Sci-Fi,ender's game
Len Wiseman,Bruce Willis,Action Adventure Thriller,live free or die hard
Peter Jackson,Christopher Lee,Action Adventure Drama Fantasy,the lord of the rings: the fellowship of the ring
Michael Mann,Will Smith,Biography Drama Sport,ali
Bo Welch,Sean Hayes,Adventure Comedy Family Fantasy,the cat in the hat
Alex Proyas,Will Smith,Action Mystery Sci-Fi Thriller,"i, robot"
Ridley Scott,Liam Neeson,Action Adventure Drama History War,kingdom of heaven
Rob Minkoff,Chazz Palminteri,Adventure Comedy Family Fantasy,stuart little
Ron Clements,Oprah Winfrey,Animation Family Fantasy Musical Romance,the princess and the frog
Ridley Scott,Matt Damon,Adventure Drama Sci-Fi,the martian
Christopher Barnard,Mathew Buck,Comedy,"10,000 b.c.            "
Peter Chelsom,Del Zamora,Comedy Romance,town & country
Dominic Sena,Nicolas Cage,Action Crime Thriller,gone in sixty seconds
Ridley Scott,Djimon Hounsou,Action Drama Romance,gladiator
Steven Spielberg,Tom Cruise,Action Mystery Sci-Fi Thriller,minority report
Chris Columbus,Daniel Radcliffe,Adventure Family Fantasy Mystery,harry potter and the chamber of secrets
James Cameron,Joe Morton,Action Sci-Fi,terminator 2: judgment day
Michael Mann,Johnny Depp,Biography Crime Drama History Romance,public enemies
Ridley Scott,Denzel Washington,Biography Crime Drama,american gangster
James Cameron,Jamie Lee Curtis,Action Comedy Thriller,true lies
Tony Scott,Denzel Washington,Action Crime Thriller,the taking of pelham 1 2 3
Paul Weitz,Robert De Niro,Comedy Romance,little fockers
Adam McKay,Dwayne Johnson,Action Comedy Crime,the other guys
Chuck Russell,Vanessa Williams,Action Drama Mystery Thriller,eraser
Quentin Tarantino,Leonardo DiCaprio,Drama Western,django unchained
Gary Trousdale,Demi Moore,Animation Drama Family Musical Romance,the hunchback of notre dame
Mark Dindal,Eartha Kitt,Adventure Animation Comedy Family Fantasy,the emperor's new groove
Simon West,Jason Statham,Action Adventure Thriller,the expendables 2
Jon Turteltaub,Nicolas Cage,Action Adventure Comedy Family Mystery,national treasure
Stefen Fangmeier,Djimon Hounsou,Action Adventure Family Fantasy,eragon
Spike Jonze,Catherine O'Hara,Adventure Drama Family Fantasy,where the wild things are
Chris Wedge,Josh Hutcherson,Adventure Animation Family Fantasy,epic
Peter Hyams,CCH Pounder,Action Fantasy Horror Mystery,end of days
Edward Zwick,Leonardo DiCaprio,Adventure Drama Thriller,blood diamond
Martin Scorsese,Leonardo DiCaprio,Biography Comedy Crime Drama,the wolf of wall street
Joel Schumacher,Michael Gough,Action Adventure Fantasy,batman forever
Paul Verhoeven,Jake Busey,Action Sci-Fi War,starship troopers
Tom Tykwer,Tom Hanks,Drama Sci-Fi,cloud atlas
Zack Snyder,Abbie Cornish,Action Adventure Animation Family Fantasy,legend of the guardians: the owls of ga'hoole
Pitof,Frances Conroy,Action Crime Fantasy Romance Thriller,catwoman
Ron Clements,Joseph Gordon-Levitt,Adventure Animation Family Sci-Fi,treasure planet
Brad Silberling,Will Ferrell,Adventure Comedy Sci-Fi,land of the lost
Patrick Hughes,Jason Statham,Action Adventure Thriller,the expendables 3
Lawrence Guterman,Jamie Kennedy,Comedy Family Fantasy,son of the mask
Ron Howard,Chris Hemsworth,Action Adventure Biography Drama History Thriller,in the heart of the sea
Ron Underwood,Rosario Dawson,Action Comedy Sci-Fi,the adventures of pluto nash
Paul Greengrass,Matt Damon,Action Drama Thriller War,green zone
Steve Martino,Francesca Capaldi,Adventure Animation Comedy Family,the peanuts movie
David Mamet,Ben Gazzara,Drama Mystery Thriller,the spanish prisoner
Stephen Sommers,Dwayne Johnson,Action Adventure Fantasy Thriller,the mummy returns
Martin Scorsese,Leonardo DiCaprio,Crime Drama,gangs of new york
Yimou Zhang,Christian Bale,Drama History Romance War,the flowers of war
Ash Brannon,Jeff Bridges,Animation Comedy Family Sport,surf's up
Frank Oz,Jon Lovitz,Comedy Sci-Fi Thriller,the stepford wives
Ridley Scott,Ioan Gruffudd,Drama History War,black hawk down
Jay Roach,Will Ferrell,Comedy,the campaign
Luc Besson,Milla Jovovich,Action Adventure Sci-Fi,the fifth element
Michael Patrick King,Chris Noth,Comedy Drama Romance,sex and the city 2
Bibo Bergeron,Frank Welker,Adventure Animation Comedy Family Romance,the road to el dorado
Steve Martino,Peter Dinklage,Adventure Animation Comedy Family,ice age: continental drift
Andrew Stanton,Alexander Gould,Adventure Animation Comedy Family,finding nemo
Peter Jackson,Orlando Bloom,Action Adventure Drama Fantasy,the lord of the rings: the return of the king
Peter Jackson,Christopher Lee,Action Adventure Drama Fantasy,the lord of the rings: the two towers
Sergey Bodrov,Jeff Bridges,Action Adventure Fantasy,seventh son
Simon West,Angelina Jolie Pitt,Action Adventure Fantasy Thriller,lara croft: tomb raider
Wally Pfister,Johnny Depp,Drama Mystery Romance Sci-Fi Thriller,transcendence
Joe Johnston,Michael Jeter,Action Adventure Sci-Fi Thriller,jurassic park iii
Rupert Wyatt,James Franco,Action Drama Sci-Fi Thriller,rise of the planet of the apes
Mark Waters,Martin Short,Adventure Family Fantasy,the spiderwick chronicles
John Moore,Bruce Willis,Action Thriller,a good day to die hard
Brad Bird,Holly Hunter,Action Adventure Animation Family,the incredibles
Renny Harlin,Christopher Masterson,Action Adventure Comedy,cutthroat island
Chris Columbus,Logan Lerman,Adventure Family Fantasy,percy jackson & the olympians: the lightning thief
Barry Sonnenfeld,Will Smith,Adventure Comedy Family Mystery Sci-Fi,men in black
John Lasseter,Tom Hanks,Adventure Animation Comedy Family Fantasy,toy story 2
Tony Scott,Denzel Washington,Action Thriller,unstoppable
Brett Ratner,Mei Melançon,Action Comedy Crime Thriller,rush hour 2
Robert Zemeckis,Harrison Ford,Drama Fantasy Horror Mystery Thriller,what lies beneath
Phil Lord,Will Forte,Animation Comedy Family Sci-Fi,cloudy with a chance of meatballs
Carlos Saldanha,Denis Leary,Action Adventure Animation Comedy Family,ice age: dawn of the dinosaurs
Ben Stiller,Adam Scott,Adventure Comedy Drama Fantasy Romance,the secret life of walter mitty
McG,Bill Murray,Action Adventure Comedy Crime Thriller,charlie's angels
Martin Scorsese,Leonardo DiCaprio,Crime Drama Thriller,the departed
Tony Bancroft,Ming-Na Wen,Adventure Animation Family Fantasy Musical War,mulan
Ben Stiller,Robert Downey Jr.,Action Comedy,tropic thunder
David Fincher,Robin Wright,Crime Drama Mystery Thriller,the girl with the dragon tattoo
John McTiernan,Bruce Willis,Action Adventure Thriller,die hard with a vengeance
Guy Ritchie,Robert Downey Jr.,Action Adventure Crime Mystery Thriller,sherlock holmes
Gary Trousdale,Leonard Nimoy,Action Adventure Animation Family Fantasy Sci-Fi,atlantis: the lost empire
Walt Becker,Bella Thorne,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: the road chip
Bryan Singer,Tom Cruise,Drama History Thriller War,valkyrie
Dennis Dugan,Adam Sandler,Action Comedy,you don't mess with the zohan
Chris Columbus,Peter Dinklage,Action Animation Comedy Sci-Fi,pixels
Steven Spielberg,Haley Joel Osment,Adventure Drama Sci-Fi,a.i. artificial intelligence
Rob Minkoff,Marsha Thomason,Comedy Family Fantasy Horror Mystery,the haunted mansion
Robert Zemeckis,Matthew McConaughey,Drama Mystery Sci-Fi Thriller,contact
Paul Verhoeven,Greg Grunberg,Action Horror Sci-Fi Thriller,hollow man
Sydney Pollack,Curtiss Cook,Crime Mystery Thriller,the interpreter
Thor Freudenthal,Logan Lerman,Adventure Family Fantasy,percy jackson: sea of monsters
Jan de Bont,Gerard Butler,Action Adventure Fantasy,lara croft tomb raider: the cradle of life
Jon M. Chu,Daniel Radcliffe,Action Adventure Comedy Crime Mystery Thriller,now you see me 2
Tony Scott,Brad Pitt,Action Crime Thriller,spy game
Brian De Palma,Don Cheadle,Adventure Sci-Fi Thriller,mission to mars
Carlos Saldanha,Anne Hathaway,Adventure Animation Comedy Family Musical,rio
Chris Columbus,Robin Williams,Comedy Drama Sci-Fi,bicentennial man
Mick Jackson,Don Cheadle,Action Drama Sci-Fi Thriller,volcano
Alan J. Pakula,Harrison Ford,Action Crime Drama Thriller,the devil's own
Kathryn Bigelow,Liam Neeson,Drama History Thriller War,k-19: the widowmaker
Josh Trank,Tim Blake Nelson,Action Adventure Sci-Fi,fantastic four
Ron Howard,Paddy Considine,Biography Drama Sport,cinderella man
